State,NIH AWARDS ($M),"Jobs Created per
$1M NIH Awards",Intrastate Jobs,"Added Interstate (Jobs, %)",Interstate Jobs,,TOTAL EMPLOYMENT,ECONOMIC ACTIVITY ($M)
Alabama,380.3,9.4,"3,594.20",22.7,816.8,,"4,411.00",915.9
Alaska,14.8,8.1,119.9,154.8,185.6,,305.5,62.3
Arizona,357,10.3,"3,670.70",37.4,"1,373.10",,"5,043.80","1,068.10"
Arkansas,108.9,9.3,"1,012.60",51.2,518.3,,"1,530.90",293.4
California,"5,151.10",9.1,"46,702.00",18.5,"8,622.40",,"55,324.40","13,812.80"
Colorado,566.8,10,"5,664.20",22.7,"1,287.10",,"6,951.30","1,591.00"
Connecticut,786.7,7.7,"6,094.90",12.1,736.4,,"6,831.30","1,784.90"
Delaware,84,5.6,473.3,37.3,176.6,,649.9,200.8
District of Columbia,219.3,1.7,378.9,30,113.5,,492.3,425.9
Florida,869.3,11.5,"9,986.90",46.3,"4,619.00",,"14,605.90","2,815.50"
Georgia,782.9,11.8,"9,234.10",25.5,"2,359.20",,"11,593.20","2,273.60"
Hawaii,67.4,9.3,626.7,48.5,304,,930.7,187.8
Idaho,23.5,9.3,217.5,150,326.3,,543.8,112.1
Illinois,"1,275.30",10.1,"12,937.00",20.2,"2,616.20",,"15,553.20","3,631.80"
Indiana,407.8,9.8,"3,986.30",33.9,"1,351.00",,"5,337.30","1,097.60"
Iowa,218.2,8.1,"1,777.50",37.3,663.5,,"2,441.10",519.8
Kansas,140.7,8.4,"1,188.10",47.4,563.4,,"1,751.50",394.6
Kentucky,233.9,8.9,"2,093.20",34.5,721.7,,"2,814.90",606.8
Louisiana,211.3,10.5,"2,208.60",43.2,954.6,,"3,163.20",580.6
Maine,124.8,9.6,"1,202.40",22.1,266,,"1,468.40",286.4
Maryland,"2,432.10",8.8,"21,346.90",5.7,"1,220.20",,"22,567.10","5,304.00"
Massachusetts,"3,458.80",8.2,"28,522.00",5.6,"1,588.70",,"30,110.70","7,761.90"
Michigan,"1,012.50",10,"10,085.10",17.1,"1,724.50",,"11,809.60","2,566.60"
Minnesota,715.2,9.1,"6,540.40",18,"1,175.40",,"7,715.80","1,764.10"
Mississippi,65,9.1,594.1,73.1,434.5,,"1,028.60",199
Missouri,901.6,8.9,"8,058.50",12.7,"1,021.30",,"9,079.80","2,126.80"
Montana,49,9.3,453.3,46.3,209.9,,663.2,128.7
Nebraska,137.3,9.3,"1,275.50",39.8,507.1,,"1,782.60",354.4
Nevada,32.7,8.5,278.4,219.7,611.7,,890.1,199.1
New Hampshire,132,7.2,956.7,24.5,234.1,,"1,190.80",322.9
New Jersey,405.1,9,"3,639.90",48.7,"1,771.50",,"5,411.40","1,370.60"
New Mexico,122.7,8.1,999.9,35.1,351.2,,"1,351.10",288.9
New York,"3,548.10",7.3,"26,062.70",17.1,"4,459.10",,"30,521.90","8,269.20"
North Carolina,"1,975.50",10,"19,802.60",9.9,"1,966.30",,"21,769.00","4,853.00"
North Dakota,24.5,7.8,191,102.4,195.6,,386.5,83.6
Ohio,"1,034.50",10.2,"10,533.80",22.4,"2,359.20",,"12,893.00","2,689.60"
Oklahoma,156.5,10.7,"1,674.80",47,786.8,,"2,461.60",446.7
Oregon,388.3,9.3,"3,618.70",22.6,816.2,,"4,434.80",963.8
Pennsylvania,"2,204.30",8.9,"19,517.10",11.4,"2,222.90",,"21,740.00","5,311.30"
Rhode Island,244.9,7.7,"1,875.30",9.4,176.3,,"2,051.60",502.1
South Carolina,250.2,10.9,"2,731.20",33.6,918.7,,"3,649.90",723.5
South Dakota,28.8,8.6,246.4,83.8,206.4,,452.7,90.3
Tennessee,818.6,10.4,"8,482.70",15.3,"1,293.60",,"9,776.40","2,198.50"
Texas,"1,897.50",12.3,"23,386.40",30.6,"7,166.90",,"30,553.30","6,126.80"
Utah,307.1,11.8,"3,638.70",23,838,,"4,476.70",835.9
Vermont,55.1,7.9,435,24.1,104.7,,539.7,124.8
Virginia,594.9,8.7,"5,172.30",32,"1,655.30",,"6,827.60","1,651.60"
Washington,"1,260.40",8.3,"10,468.50",17,"1,781.90",,"12,250.30","3,089.20"
West Virginia,54.1,8,433.3,62.6,271.2,,704.5,147.6
Wisconsin,595.1,9.3,"5,546.90",20.8,"1,156.40",,"6,703.30","1,381.40"
Wyoming,11.7,8.2,95.9,155.2,148.9,,244.8,47.6
,,,,,,,,
