state,pop_2024,pop_2025
Alabama,5163055,5193088
Alaska,736537,737270
Arizona,7556424,7623818
Arkansas,3096080,3114791
California,39364774,39355309
Colorado,5988502,6012561
Connecticut,3674449,3688496
Delaware,1050123,1059952
District of Columbia,691310,693645
Florida,23265838,23462518
Georgia,11204208,11302748
Hawaii,1434952,1432820
Idaho,2000872,2029733
Illinois,12703033,12719141
Indiana,6934754,6973333
Iowa,3230454,3238387
Kansas,2965252,2977220
Kentucky,4584046,4606864
Louisiana,4614878,4618189
Maine,1408438,1414874
Maryland,6245314,6265347
Massachusetts,7138560,7154084
Michigan,10099962,10127884
Minnesota,5797405,5830405
Mississippi,2950172,2954160
Missouri,6243544,6270541
Montana,1137557,1144694
Nebraska,2005591,2018006
Nevada,3253543,3282188
New Hampshire,1408518,1415342
New Jersey,9506354,9548215
New Mexico,2126774,2125498
New York,20001419,20002427
North Carolina,11052061,11197968
North Dakota,793387,799358
Ohio,11860621,11900510
Oklahoma,4097758,4123288
Oregon,4265324,4273586
Pennsylvania,13045848,13059432
Rhode Island,1110415,1114521
South Carolina,5490316,5570274
South Dakota,927110,935094
Tennessee,7251291,7315076
Texas,31318578,31709821
Utah,3502983,3538904
Vermont,646521,644663
Virginia,8819642,8880107
Washington,7927958,8001020
West Virginia,1767402,1766147
Wisconsin,5957168,5972787
Wyoming,586722,588753
