,2020_budg,2021_budg,2022_budg,2023_budg,2024_budg,2026_budg
BIO,809.79,819.35,831.73,856.98,789.59,224.89
CSE,1011.38,1022.22,1015.57,1050.57,989.35,346.27
ENG,1017.64,1035.38,774.8,808.8,740.8,185.2
GEO,990.87,1004.91,1033.46,1068.148,1577.08,873.57
MPS,1527.8,1582.54,1612.9,1685.84,1554.21,515.28
SBE,278.64,282.67,285.82,313.2,290.29,94
TIP,,,450,880,617.9,350
OISE,50.71,51.32,61.32,69.32,63.7,12.74
OIA,554.02,597.14,399.83,547.03,551.83,177.73
EDU,937.55,968,1149.46,1371,1172,288.43
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
