"","state","IDC_loss","IDC_econ_loss","IDC_job_loss"
"1","Alabama",53581754.2752934,129528468.352384,505.322091037287
"2","Alaska",1383453.3729184,5522756.67335652,11.3013031972779
"3","Arizona",51543876.0877055,153963615.892344,530.205930870091
"4","Arkansas",18275858.5263372,49284163.535773,171.708438707124
"5","California",890238035.896847,2387294521.76443,8102.09738893287
"6","Colorado",87420041.7424768,245368000.204133,873.828843665911
"7","Connecticut",169939367.220557,386062076.662757,1309.45323525651
"8","Delaware",13260237.380446,31625777.4225637,87.1872768043191
"9","District of Columbia",11733713.0289973,7558557.46813921,29.22597551312
"10","Florida",141340904.751458,456057521.35319,1621.16621421905
"11","Georgia",122847688.485663,356184349.774796,1445.07217299986
"12","Guam",354860.6,911991.742,3.15825934
"13","Hawaii",11865550.8610755,32966188.6612449,110.257156111793
"14","Idaho",4472931.68215025,17198157.8683149,40.639757658253
"15","Illinois",226930536.85442,640386234.010914,2278.0323516416
"16","Indiana",81551746.0922017,219859343.640532,799.92096600213
"17","Iowa",39906551.081449,95425480.8885873,325.526542535803
"18","Kansas",19667961.4049375,54309244.385464,166.688045046128
"19","Kentucky",48953238.757073,127086758.409771,446.109864670531
"20","Louisiana",30806051.5514387,84824460.6131807,323.987904739809
"21","Maine",28272898.618138,64830712.4621806,268.914586031272
"22","Maryland",221361507.510154,455447403.489247,1827.15081376619
"23","Massachusetts",585524696.322607,1313596432.06579,4796.73716284226
"24","Michigan",178377364.394227,452561552.755372,1782.30131291586
"25","Minnesota",127529399.50934,315378266.429862,1159.88727974002
"26","Mississippi",12616797.6655972,37165488.2492274,120.07405272658
"27","Missouri",140320682.133392,333793465.183384,1247.22166438396
"28","Montana",4997902.83884365,13126298.2915111,46.53099382484
"29","Nebraska",25369047.6381696,65506044.9613733,235.851801174061
"30","Nevada",5031762.96962097,28596225.926283,43.3991211167335
"31","New Hampshire",29176044.4072081,68990715.1512755,221.696461822739
"32","New Jersey",146727325.159775,411384022.688225,1231.25183939505
"33","New Mexico",19862793.9558219,47047954.9585301,162.229008231628
"34","New York",645422774.005795,1506260787.80535,4730.44738964503
"35","North Carolina",258020737.726515,634368814.27749,2578.9171635842
"36","North Dakota",2855766.55963035,9719460.88702388,22.3171555259263
"37","Ohio",186297107.485007,484133168.31455,1895.5090439757
"38","Oklahoma",26142653.900349,74634947.9117062,279.705742307785
"39","Oregon",57391002.7493699,142561704.552956,533.279113588229
"40","Pennsylvania",374335205.144325,902675930.079126,3316.86043427966
"41","Puerto Rico",6662251.65,17121986.7405,59.294039685
"42","Rhode Island",38061938.6582919,79593388.5509166,296.516870998673
"43","South Carolina",41599792.2831246,119746660.063089,454.46029959576
"44","South Dakota",5045150.27320354,15496517.1128578,43.2826646654893
"45","Tennessee",143040972.8228,384142609.096593,1486.53539978424
"46","Texas",333884948.118503,1076481374.18825,4099.80833518533
"47","Utah",49584797.417244,134997253.333769,584.468258973975
"48","Vermont",17859047.1941456,41951961.0155944,135.581845774949
"49","Virgin Islands",0,0,0
"50","Virginia",93107404.2838453,232381019.682134,741.428920689994
"51","Washington",206950330.90931,507960213.119377,1721.98867378405
"52","West Virginia",8704339.13216051,23048879.8114392,71.2901703142692
"53","Wisconsin",100091201.142839,233829240.577274,931.298746810113
"54","Wyoming",2157974.91719996,8340803.20211847,18.3961351009589
